linear_examples,quadratic_0,quadratic_1,quadratic_2,quadratic_3,quadratic_4,quadratic_6,quadratic_8,quadratic_10,quadratic_12,quadratic_14,quadratic_16,quadratic_18,quadratic_20
0,2.0521535873413086,1.2828844785690308,0.46279823780059814,0.10252748429775238,0.02852323092520237,0.008473706431686878,0.005504722241312265,0.0041975900530815125,0.003630811581388116,0.003177441656589508,0.002944786800071597,0.002793789841234684,0.002595684491097927
1,2.372499704360962,2.825012683868408,2.1562135219573975,1.4240425825119019,0.9331663250923157,0.48409491777420044,0.24933724105358124,0.15807250142097473,0.10803436487913132,0.07622641324996948,0.06050162389874458,0.0476379431784153,0.038514263927936554
2,2.942517042160034,3.0803403854370117,2.2980387210845947,1.7136616706848145,1.2735306024551392,0.7122636437416077,0.44201821088790894,0.2849888205528259,0.19977712631225586,0.15282952785491943,0.11540620028972626,0.09636149555444717,0.07915887236595154
3,3.4907469749450684,3.004495620727539,2.386908769607544,1.8483388423919678,1.4637129306793213,0.8707612752914429,0.5744261145591736,0.38521337509155273,0.2895857095718384,0.21171052753925323,0.1735442876815796,0.1464216411113739,0.12250804156064987
4,3.6799545288085938,3.080293893814087,2.5064077377319336,2.0318074226379395,1.613309383392334,1.0348711013793945,0.6942082047462463,0.49829915165901184,0.38321560621261597,0.2941648066043854,0.23856700956821442,0.19211699068546295,0.1632966548204422
6,3.7734363079071045,3.2482264041900635,2.6391890048980713,2.259624719619751,1.853153944015503,1.323756456375122,0.9330574870109558,0.7042540311813354,0.5578001141548157,0.4410966634750366,0.36324742436408997,0.30181944370269775,0.26665863394737244
8,3.7582316398620605,3.2886650562286377,2.804771900177002,2.4279868602752686,2.0178918838500977,1.5565117597579956,1.166185736656189,0.9067992568016052,0.7272485494613647,0.6067836880683899,0.5083746314048767,0.43161284923553467,0.3695206344127655
10,3.819293975830078,3.3119935989379883,2.9997048377990723,2.6277859210968018,2.278808116912842,1.7643351554870605,1.3803091049194336,1.1239149570465088,0.9117001295089722,0.7758116722106934,0.6691822409629822,0.5728909373283386,0.5143641233444214
12,3.8550212383270264,3.4764254093170166,3.096564292907715,2.7148754596710205,2.468705177307129,2.000223159790039,1.6185460090637207,1.3243657350540161,1.0927681922912598,0.9423516988754272,0.8161876201629639,0.7325398325920105,0.6376287937164307
14,3.7960596084594727,3.4355249404907227,3.189568281173706,2.8257219791412354,2.5675642490386963,2.1795918941497803,1.8004326820373535,1.5424160957336426,1.253839135169983,1.1061092615127563,0.9799624085426331,0.8978948593139648,0.8150365948677063
16,3.8247315883636475,3.5056204795837402,3.2415926456451416,2.9976038932800293,2.732342481613159,2.270401954650879,1.9690258502960205,1.7241712808609009,1.5012121200561523,1.2954298257827759,1.159061312675476,1.0209226608276367,0.938246488571167
18,3.8047266006469727,3.6137428283691406,3.3724663257598877,3.0657711029052734,2.8516592979431152,2.475926399230957,2.1487810611724854,1.9216761589050293,1.6562355756759644,1.469292402267456,1.3355697393417358,1.2462068796157837,1.0801453590393066
20,3.777825117111206,3.6048085689544678,3.3684351444244385,3.151198387145996,2.982161521911621,2.616847276687622,2.3390913009643555,1.9913026094436646,1.830603003501892,1.6688951253890991,1.4967797994613647,1.3839117288589478,1.2364274263381958
