quadratic_examples,linear_0,linear_1,linear_2,linear_3,linear_4,linear_6,linear_8,linear_10,linear_12,linear_14,linear_16,linear_18,linear_20
0,0.017874153705331956,0.013203418338984068,0.00862131494972588,0.004699128963159647,0.0018390869009021387,0.00021704166054664485,8.995144841077301e-05,6.818429107252181e-05,5.610552432646824e-05,3.721513754568523e-05,3.332474068018437e-05,2.882890660525841e-05,3.436524839368903e-05
1,0.02297016536402228,0.03212942814330623,0.03504307786860959,0.025226148214686876,0.02509214189771073,0.013686422372268725,0.009215302624186286,0.004258320446007917,0.0030273843260215185,0.0029352219979740086,0.0036788375096692095,0.0020812903226967226,0.001574934233563681
2,0.03080025006525929,0.043789715565176746,0.03680577663573653,0.02920837467077261,0.02029029348118874,0.01665978837042061,0.014599667430636265,0.006247324510825054,0.006614810390485085,0.004369514720776584,0.0030158428302914605,0.00292973468658804,0.0022158628058068547
3,0.04201842181654015,0.04038796513334264,0.035186165462101876,0.03194157502111777,0.025276340267893216,0.02064481008036135,0.011296811119933392,0.009041576560422156,0.006772993391469811,0.0052292659147843736,0.003964541716170282,0.0030853988019554457,0.0029800959063712414
4,0.043097370955929463,0.03734177928526873,0.0366957608724128,0.03051193555721914,0.025573494789810636,0.01751817445141121,0.013537593481917133,0.012094388649175286,0.007763344010111924,0.005726809791789549,0.004431689799190753,0.00397459181297062,0.005111038268633399
6,0.048671012899596536,0.03623660037336,0.0342617902796522,0.033577471422875996,0.027112957760867647,0.020215575572849993,0.0162696685682357,0.011621332930015195,0.008912105227110976,0.008532256050857244,0.007256127480395733,0.005172646945305538,0.006846614308747455
8,0.045168229968007796,0.04101776994292091,0.039012398658380264,0.030942425384398353,0.032218084623632695,0.02175420731872153,0.017203922324828404,0.016415939697642417,0.01247204572817118,0.010013290111427821,0.009480561471299631,0.008522833613890836,0.006961797427730998
10,0.04782214161392628,0.04182551348812166,0.03566190145839064,0.0327587089605907,0.03002623616789088,0.025112888599788996,0.02000386006778601,0.020015097629137026,0.014747470954772668,0.013104607151884946,0.010481713776408086,0.008475982482773507,0.007155253780463946
12,0.04983801159298641,0.04195697146847477,0.039630800038543294,0.034490541188857485,0.03380095602104225,0.027994071536385345,0.020917632888176073,0.019951747337790558,0.015435214610102168,0.013808252465439513,0.013227406065339939,0.014436079109865498,0.00897179228456182
14,0.043947297765644766,0.0456525345577051,0.039281806091963516,0.036873126609267975,0.032691245895197285,0.02851493307046422,0.022746322641626456,0.02033135713626979,0.01822792389821557,0.015355753440585993,0.015016105593965795,0.012568290672435782,0.012291638762661214
16,0.04543132687569316,0.04022888258083917,0.03929330376459706,0.037396059609285257,0.03165070275213275,0.03081455807066277,0.027936980879598877,0.024117512461530623,0.022659777209390088,0.017305827516784566,0.015744462421792834,0.014151556006497867,0.013363252009937454
18,0.0449202157449804,0.04318079882250421,0.03760667812328814,0.03540811201094535,0.03212913410446511,0.03070091959802729,0.03010013227536598,0.023478062800990743,0.021530004587231772,0.01830588000353537,0.017642579269306166,0.01676685243614694,0.015006807558047553
20,0.04615446262922595,0.043943893700599486,0.03906550659676104,0.03787664347672377,0.04045988778782638,0.030611433777379723,0.028492729368230916,0.025601931738502812,0.022911800538924294,0.02129167479731768,0.022458452961576718,0.018565859345559117,0.017044210227626633
