linear_examples,quadratic_0,quadratic_1,quadratic_2,quadratic_3,quadratic_4,quadratic_6,quadratic_8,quadratic_10,quadratic_12,quadratic_14,quadratic_16,quadratic_18,quadratic_20
0,2.0497593879699707,1.5232864618301392,0.8180238604545593,0.25052326917648315,0.10473458468914032,0.03594588488340378,0.021465856581926346,0.016748709604144096,0.014558397233486176,0.013880029320716858,0.01304444670677185,0.012097178027033806,0.011741126887500286
1,2.8025007247924805,3.4392685890197754,2.332871913909912,1.4545402526855469,0.9846439361572266,0.5548015236854553,0.34897202253341675,0.23141124844551086,0.1759544461965561,0.13546548783779144,0.10996346175670624,0.09654314815998077,0.08398233354091644
2,3.698992967605591,3.4239490032196045,2.4009571075439453,1.806085467338562,1.262512445449829,0.8099461793899536,0.5602012872695923,0.4168655276298523,0.32981154322624207,0.23835067451000214,0.21786917746067047,0.1762734204530716,0.15245898067951202
3,4.035416603088379,3.1214685440063477,2.445443868637085,1.927722692489624,1.4987595081329346,1.0217804908752441,0.7138487696647644,0.5848810076713562,0.4463643729686737,0.3552902340888977,0.293111115694046,0.25041788816452026,0.20526951551437378
4,3.9530463218688965,3.211686611175537,2.5408363342285156,1.9754570722579956,1.674631953239441,1.2401032447814941,0.9095177054405212,0.6852104663848877,0.5408245921134949,0.44544661045074463,0.3793506920337677,0.3333413898944855,0.29170775413513184
6,4.006170749664307,3.21270489692688,2.7684097290039062,2.345181941986084,1.992205023765564,1.5089842081069946,1.1977314949035645,0.9422219395637512,0.7971029281616211,0.6645357608795166,0.599104106426239,0.48653167486190796,0.42934659123420715
8,4.021937370300293,3.423302173614502,2.8475756645202637,2.5067713260650635,2.1966710090637207,1.8091764450073242,1.4478976726531982,1.1702284812927246,1.0239256620407104,0.8696733713150024,0.7234536409378052,0.6653832197189331,0.6199210286140442
10,4.015710353851318,3.5051608085632324,2.9848015308380127,2.7292561531066895,2.4360830783843994,1.9590444564819336,1.6271675825119019,1.4074697494506836,1.2506173849105835,1.071085810661316,0.9576562643051147,0.8739849925041199,0.7743244171142578
12,3.9666669368743896,3.5316967964172363,3.0817360877990723,2.8613500595092773,2.588931083679199,2.1362202167510986,1.846433162689209,1.5872243642807007,1.3998606204986572,1.2794543504714966,1.1631903648376465,1.0667654275894165,0.9878775477409363
14,3.968853712081909,3.6400864124298096,3.1920905113220215,2.9755821228027344,2.7564945220947266,2.3247928619384766,2.055111885070801,1.8100789785385132,1.5582274198532104,1.4615787267684937,1.3095306158065796,1.2065197229385376,1.1413313150405884
16,3.9645254611968994,3.662350654602051,3.2690820693969727,3.0297646522521973,2.8025922775268555,2.482226610183716,2.2598252296447754,1.9735151529312134,1.740505337715149,1.6235154867172241,1.4778075218200684,1.3892329931259155,1.2832210063934326
18,3.8692703247070312,3.712951421737671,3.3613827228546143,3.152477979660034,2.8864588737487793,2.6264805793762207,2.340834856033325,2.1331803798675537,1.9531240463256836,1.751664161682129,1.6848562955856323,1.5190991163253784,1.4073996543884277
20,3.9081063270568848,3.7278871536254883,3.4277658462524414,3.240023374557495,3.0766348838806152,2.7498326301574707,2.5100882053375244,2.281947612762451,2.0537521839141846,1.9351091384887695,1.8304437398910522,1.6912143230438232,1.5993492603302002
