,quadratic_0,quadratic_1,quadratic_2,quadratic_3,quadratic_4,quadratic_6,quadratic_8,quadratic_10,quadratic_12,quadratic_14,quadratic_16,quadratic_18,quadratic_20
0,0.033110107994101697,0.029973458080774177,0.021317480475354707,0.00971831826244641,0.006325368262337881,0.003129093492083603,0.0005793266104003393,0.0004572160847530744,0.0003381385414789985,0.0005300376428334345,0.0006418178748119303,0.00043546957993258515,0.00026302183707178185
1,0.037756483373381396,0.04867515206174461,0.04513487917791305,0.03279461562676596,0.025184850836424424,0.018122005830023862,0.01232652100505346,0.00851734394642441,0.006225899728791064,0.004804589951742563,0.0040061576365106166,0.004192251237813273,0.003892457434567146
2,0.048980873292206205,0.05823174236454965,0.04112252693466306,0.03527941724175303,0.02519663689330599,0.01848239566656141,0.01598942693427579,0.016133528584797063,0.014986996691127082,0.006893754766544989,0.009199732702089665,0.0068594577745384345,0.007014761173987767
3,0.0471414530059193,0.04454517297286036,0.04076192599331651,0.0354256186311782,0.028553570905106032,0.023178261929503244,0.016097303376543932,0.01986869267436031,0.013498490085776884,0.010858555651565618,0.010042155866763299,0.007754672691595428,0.006124810211889353
4,0.04835746194255793,0.04570401774300225,0.03909957740504366,0.033007330109944,0.028134109419333187,0.030581639726343913,0.022943102481453027,0.01838000417959878,0.014665478412412745,0.013106853910209403,0.0095895726019162,0.009245781823419194,0.010807906518750486
6,0.05054258897197004,0.04428501268385747,0.04426856158766967,0.03457856435475692,0.031213519771589315,0.026024571105596993,0.02188677171445757,0.018556414290220313,0.019698242504864558,0.01434869208568964,0.015182814307694732,0.010696475222287775,0.01055699431676013
8,0.05002725951480583,0.046046757709615124,0.03867954669023224,0.040519777468196586,0.03332597397049995,0.03211073782825144,0.02731709988090842,0.021801536262955678,0.02080546272488183,0.01870566162046119,0.01581096326392733,0.014352034892643018,0.01559728278776163
10,0.04878241215336502,0.049533368504942256,0.03949826768550148,0.04078566020541513,0.03708269336895454,0.03036930975549656,0.028500581713180317,0.025717157266934593,0.024006697515715644,0.020092380837878107,0.01881580932429055,0.018934386141565354,0.015884556850671663
12,0.04743314707576797,0.04756588676389006,0.03919453310208181,0.03851525814234945,0.04486441622028475,0.03258664723206189,0.029628049146218825,0.026742578143189477,0.02354951612424731,0.025143628852736615,0.022149840349177444,0.023027951535759855,0.021844637456416544
14,0.04588046366604674,0.05325863705658319,0.04358074442262989,0.04157313391922225,0.039356262004155367,0.03643097512625536,0.033335760186289025,0.032444404057805645,0.025030239182197468,0.02809300995182918,0.024304031099747846,0.022269453841853633,0.02170537802245192
16,0.04936704807327275,0.04881542743760259,0.04596165985321197,0.0407406081773353,0.03851089279647743,0.03673986292885209,0.03968454506107983,0.03047126772365498,0.0273492066605215,0.026894451089492406,0.027366112009021545,0.025255902683571,0.024005527014944263
18,0.04519720410304433,0.04650548845959244,0.04483818267803661,0.039802239761831275,0.039093372431550276,0.0371348890329821,0.03408222679094608,0.03342409623967324,0.03187807771035074,0.029546722903412342,0.02914476615300798,0.025342698802768064,0.022894876341780588
20,0.05092725586154366,0.04560174500249469,0.043891513319864045,0.04617204464403344,0.04293176677271909,0.04111544738410379,0.037758846993296555,0.03250961659514587,0.0322073861334904,0.031692999108509264,0.03224318347753241,0.028357601556956907,0.026155292103982933
