,quadratic_2,quadratic_4,quadratic_6,quadratic_8,quadratic_10,quadratic_12,quadratic_14,quadratic_16,quadratic_18,quadratic_20
0,0.024165265500247158,0.005493759035748968,0.0022792269980280214,0.0007655350117232964,0.0008481820732343648,0.000480406425129044,0.0002871840017345386,0.0002827123671828762,0.00035899123772685596,0.00024372686341852856
2,0.04036835500447717,0.029654844378048086,0.020444296324225425,0.019265300469144972,0.01088389765296857,0.008712168239471095,0.009382707795298517,0.009699468676352678,0.0064892680569451555,0.005520978833276702
4,0.04037812237162258,0.028347353549398123,0.0259265713526075,0.021547492358820957,0.01714836406277162,0.013773103514739456,0.011179691302813625,0.008988877637608831,0.010305101985299372,0.007873364014380477
6,0.04004527040347456,0.02731123606786531,0.02720746674505102,0.02201667845143733,0.01900586019832995,0.0176553416859294,0.01797623607453854,0.013840651399029348,0.011478791947189097,0.010491759161047508
8,0.04235511890799513,0.03481768955743353,0.028201376458832524,0.026111653724177716,0.02312162552502902,0.01968577978167554,0.017655603682076297,0.015965534393570412,0.015613299422713032,0.019939092358436196
10,0.03956131262882063,0.033952570740927016,0.032560560709234306,0.028970640497998225,0.024765393120380313,0.025365767657745435,0.022450349929666616,0.01803931871514501,0.018683782114898864,0.01699528103354562
12,0.04327929052509327,0.040884755064601354,0.034721776349297365,0.028098133013176388,0.02653551636824553,0.02588089543442247,0.025043065684209154,0.023147962734817305,0.020887552337756608,0.019765371949265163
14,0.03992494820179669,0.039011433607824796,0.03627885903244919,0.031007683158483366,0.03335684427908883,0.027627084674566253,0.027596853334997496,0.024332017565856515,0.02312633768594441,0.01925064376383375
16,0.042979747880023934,0.04508443266801728,0.03583441932409607,0.03152911392160083,0.03662066787606519,0.027942914432623533,0.027929115340598915,0.025219624699115616,0.025416233016284866,0.021916552571442816
18,0.04518339935642661,0.04250746118552524,0.040561270872353124,0.03569505622259131,0.03157024920152779,0.03498258503164222,0.03244141466292092,0.027386302676111796,0.028455674819656676,0.026476205341235733
20,0.046075136227511956,0.04196132173543185,0.03793246938952055,0.03642043119499109,0.03397517780413468,0.03128978138384394,0.03268728391029963,0.03112684428371168,0.02612519647464854,0.026746672068592766
