quadratic_examples,linear_0,linear_1,linear_2,linear_3,linear_4,linear_6,linear_8,linear_10,linear_12,linear_14,linear_16,linear_18,linear_20
0,2.026820659637451,1.251912236213684,0.3868056535720825,0.07422161847352982,0.019681137055158615,0.0064090099185705185,0.004726453684270382,0.0039894720539450645,0.0036271139979362488,0.003415639977902174,0.003280652454122901,0.0033010425977408886,0.00338688469491899
1,2.389470100402832,3.082336187362671,2.3838062286376953,1.5388222932815552,1.0339776277542114,0.5221810340881348,0.2862820327281952,0.178048238158226,0.12139111012220383,0.09860581159591675,0.06799137592315674,0.06160381808876991,0.06516062468290329
2,3.006197690963745,3.3169405460357666,2.5012874603271484,1.8030511140823364,1.40860915184021,0.8187970519065857,0.50420081615448,0.3707048296928406,0.25993776321411133,0.20007948577404022,0.15920698642730713,0.16988050937652588,0.17238451540470123
3,3.6939055919647217,3.259079694747925,2.548811912536621,1.9804619550704956,1.583925485610962,1.0597853660583496,0.7198199033737183,0.5520017743110657,0.41764628887176514,0.33095404505729675,0.2941082715988159,0.2919076681137085,0.30822208523750305
4,3.8742382526397705,3.2819008827209473,2.6326851844787598,2.192497491836548,1.891762375831604,1.2488244771957397,0.9250475168228149,0.7085464596748352,0.5460325479507446,0.4518905282020569,0.4440549314022064,0.4620358347892761,0.4638816714286804
6,3.930253505706787,3.3501880168914795,2.9351978302001953,2.421895980834961,2.2002925872802734,1.6306865215301514,1.2893818616867065,1.0271564722061157,0.8532440066337585,0.8932422399520874,0.8588255643844604,0.8843925595283508,0.8769932389259338
8,4.02612829208374,3.527672290802002,3.0556371212005615,2.73309326171875,2.4386019706726074,1.9347246885299683,1.5793424844741821,1.3460030555725098,1.3756670951843262,1.353704571723938,1.3498998880386353,1.3794348239898682,1.371058702468872
10,4.009293079376221,3.6112420558929443,3.173377752304077,2.914184093475342,2.634176254272461,2.183654308319092,1.8253709077835083,1.8369667530059814,1.8166605234146118,1.8857027292251587,1.8666868209838867,1.8961399793624878,1.8954657316207886
12,4.040561676025391,3.6358933448791504,3.3419747352600098,3.0510988235473633,2.7857227325439453,2.4582324028015137,2.43414306640625,2.3538167476654053,2.4351651668548584,2.3905134201049805,2.4203460216522217,2.415872573852539,2.458712577819824
14,4.067835807800293,3.721522808074951,3.392223596572876,3.126023530960083,3.0061235427856445,2.9980416297912598,3.0055160522460938,2.8781259059906006,2.990534782409668,2.9905755519866943,2.9736545085906982,2.991563081741333,2.954592227935791
16,3.9803507328033447,3.787240505218506,3.4830477237701416,3.5960843563079834,3.4868526458740234,3.5010125637054443,3.57240891456604,3.5274252891540527,3.4332051277160645,3.4792418479919434,3.397561550140381,3.4726879596710205,3.448373556137085
18,3.9906716346740723,4.0075297355651855,4.046431064605713,4.032871246337891,3.935468912124634,4.030500411987305,3.922975540161133,3.955044984817505,3.9868433475494385,3.944042444229126,3.8889546394348145,3.938727855682373,3.93800950050354
20,4.0868659019470215,4.09430456161499,4.031390190124512,3.8843395709991455,4.124871730804443,4.059298515319824,4.00626277923584,3.980496644973755,3.987011671066284,3.9897994995117188,3.9724340438842773,4.049757957458496,4.087241172790527
