quadratic_examples,linear_0,linear_1,linear_2,linear_3,linear_4,linear_6,linear_8,linear_10,linear_12,linear_14,linear_16,linear_18,linear_20
0,0.01733012530332867,0.013515269148364395,0.009141478141557097,0.00422458608601466,0.0012060468394433916,0.00010416352452586956,6.374156268297469e-05,3.741462025156186e-05,3.084040477395077e-05,2.7207326867499348e-05,2.8976597876886506e-05,2.5793106138959467e-05,2.8066501057403046e-05
1,0.023375688277807408,0.03924150015235766,0.03903562772682876,0.02826151682616343,0.021420350717866344,0.013770056631491567,0.009526285453526,0.005314761948784885,0.0032654888746438526,0.0036148477780865254,0.002058138298079196,0.00166129919003699,0.002330680732319455
2,0.03231823500686397,0.044423912108728154,0.03671757629258668,0.028445837712529714,0.02604953990385545,0.016135436067535612,0.009727524882442893,0.009769040904971821,0.006279945858410098,0.005262730267957179,0.004234840690598725,0.005410766572842802,0.005034162190595406
3,0.04384194138703417,0.04193776847031238,0.03500471333930088,0.027957525901189967,0.023677564384962043,0.02002905128003967,0.012340100510379422,0.011286513163468903,0.00852104016544644,0.007646387704975921,0.006390519070370117,0.006111714174273308,0.007703067461330565
4,0.04709938283326672,0.041004285623245436,0.03573549033297406,0.0322009926735604,0.030137032265062196,0.02077287341999101,0.01633906550446879,0.012858029195504562,0.010582314642222871,0.008728004869875529,0.00880486209926986,0.009989957375439189,0.009245792190173208
6,0.04426452043846863,0.04196709319012102,0.036933815472129435,0.031490206551354656,0.02880188105183891,0.025145545759796994,0.01958307917695686,0.017753096406551292,0.013734719194354894,0.015661853528785182,0.015538080140452888,0.014051692122650249,0.014319815021167966
8,0.05020312866935427,0.04519076163664081,0.04095143779614718,0.036413151848809,0.03246714306151893,0.025401759142817164,0.022960859788646572,0.01964608830785305,0.024799446964883634,0.021692905874941073,0.020522640711604652,0.022281441579222377,0.02095081027074913
10,0.04800195390472873,0.044363950803512034,0.03740411928931494,0.03754542757084557,0.03552852468611279,0.029678661524178817,0.02391325724962788,0.024774304759103492,0.0225822546228745,0.024678500873100574,0.02454286037871897,0.027122270875700818,0.02508789529829378
12,0.04932980315339753,0.046267415011232146,0.04027228346773425,0.04072676196370152,0.035673749715796295,0.03294575913055919,0.029750427734920166,0.028195723750598426,0.030423309234722536,0.029544732486641682,0.030127508045420016,0.03135483182284868,0.031115550176429682
14,0.049054122891203714,0.04361768022474906,0.04294566199282639,0.03621852452408858,0.038894545629022066,0.03837061742061945,0.0349970155532295,0.03252973563739021,0.036072775502111284,0.03955536022715231,0.038779893099357594,0.038419654051969336,0.0365006811802445
16,0.04825941883768802,0.04867169522049708,0.04065615871427409,0.043974711232986116,0.04203833352370421,0.04183388982536485,0.0456088170135965,0.04343516880817428,0.0432453177297577,0.04155689769757219,0.04164054043868468,0.04201165515346565,0.03939205180873991
18,0.04575854309938638,0.04578786781919502,0.04968149999547837,0.05085682601963792,0.04798634345804823,0.04944880218029035,0.046356241129351564,0.04904978770316156,0.04798618135971274,0.0459614185905731,0.04713887828119513,0.046314020167549694,0.04746597387356892
20,0.04948295215287635,0.05184425745459295,0.050300202953939985,0.045939810505479496,0.051391531882486206,0.049410143612140515,0.04792513814235045,0.04850280760356087,0.04752032582243136,0.046966134231765766,0.0490108350961706,0.051413090961106286,0.053340704051085576
