linear_examples,quadratic_2,quadratic_4,quadratic_6,quadratic_8,quadratic_10,quadratic_12,quadratic_14,quadratic_16,quadratic_18,quadratic_20
0,0.8318541646003723,0.07180020958185196,0.020856259390711784,0.011343361809849739,0.008292097598314285,0.007294783368706703,0.006403671577572823,0.006216175854206085,0.005983894690871239,0.005719589069485664
2,2.4290478229522705,1.3134877681732178,0.798995852470398,0.6097601056098938,0.4493372440338135,0.3639891743659973,0.2843852639198303,0.25912731885910034,0.25289708375930786,0.25675705075263977
4,2.5874099731445312,1.8024585247039795,1.3485156297683716,1.0349498987197876,0.8805446624755859,0.7153294086456299,0.6297502517700195,0.6576709151268005,0.6501134634017944,0.6687130331993103
6,2.8176522254943848,2.1763174533843994,1.743139386177063,1.430262565612793,1.215476393699646,1.068453073501587,1.0667816400527954,1.1132043600082397,1.1062870025634766,1.09913969039917
8,3.0444416999816895,2.4475347995758057,1.983318567276001,1.675162672996521,1.5457929372787476,1.5478110313415527,1.5434379577636719,1.5435980558395386,1.6213001012802124,1.5262702703475952
10,3.203826665878296,2.66031551361084,2.2949414253234863,2.012561798095703,1.9776469469070435,2.0422136783599854,2.0409204959869385,2.033355712890625,2.067650556564331,2.064011335372925
12,3.261303186416626,2.8998916149139404,2.4576807022094727,2.497877836227417,2.545654296875,2.5011696815490723,2.49360728263855,2.546409845352173,2.535496473312378,2.5676231384277344
14,3.415168523788452,3.0081803798675537,3.0248591899871826,2.9820683002471924,2.9433186054229736,2.9446799755096436,2.970108985900879,2.9648191928863525,2.975719928741455,2.9955520629882812
16,3.508711814880371,3.436743974685669,3.5053298473358154,3.456148862838745,3.4975664615631104,3.485414505004883,3.4805190563201904,3.471445083618164,3.465832471847534,3.493147850036621
18,3.999833583831787,3.985180616378784,4.046135902404785,4.039290904998779,3.9880850315093994,3.938828229904175,3.8943381309509277,3.939282178878784,3.9550795555114746,3.9608154296875
20,4.021212100982666,4.029396057128906,4.107818126678467,4.0348711013793945,4.066291332244873,3.9141550064086914,3.9324839115142822,3.9282615184783936,3.921485662460327,3.9219439029693604
