linear_examples,quadratic_0,quadratic_1,quadratic_2,quadratic_3,quadratic_4,quadratic_6,quadratic_8,quadratic_10,quadratic_12,quadratic_14,quadratic_16,quadratic_18,quadratic_20
0,2.041626453399658,1.516925573348999,0.8668517470359802,0.21997135877609253,0.0647185817360878,0.018386807292699814,0.010276499204337597,0.00911469291895628,0.007570954039692879,0.006730715278536081,0.0059915389865636826,0.005999910645186901,0.005510648712515831
1,2.808462142944336,3.6515729427337646,2.361835479736328,1.5355037450790405,1.0214073657989502,0.5061719417572021,0.34871429204940796,0.23801632225513458,0.18756386637687683,0.13779017329216003,0.11880733072757721,0.1221163347363472,0.11580076813697815
2,3.7685627937316895,3.4938466548919678,2.435582160949707,1.732973575592041,1.3720314502716064,0.8405365943908691,0.5791483521461487,0.4594597816467285,0.3538080155849457,0.30463317036628723,0.2522573471069336,0.26045235991477966,0.2529570460319519
3,3.8818717002868652,3.308772087097168,2.478532075881958,1.9335615634918213,1.5479552745819092,1.07382071018219,0.8182213306427002,0.6792433857917786,0.5439938902854919,0.45027244091033936,0.42973363399505615,0.43538060784339905,0.4468856155872345
4,3.9978792667388916,3.288935661315918,2.5822668075561523,2.0906436443328857,1.79280686378479,1.3597687482833862,1.049544095993042,0.8540478348731995,0.7184988856315613,0.6519433259963989,0.6152181029319763,0.6451318860054016,0.6876806616783142
6,3.9965274333953857,3.3601174354553223,2.8426830768585205,2.389350175857544,2.195124864578247,1.7102303504943848,1.4811338186264038,1.2512303590774536,1.0814505815505981,1.081870436668396,1.0672376155853271,1.1136651039123535,1.1390271186828613
8,4.09563684463501,3.5087459087371826,3.067178726196289,2.7272608280181885,2.4297845363616943,1.9903701543807983,1.7493125200271606,1.5736552476882935,1.635507345199585,1.5699708461761475,1.5618139505386353,1.5475866794586182,1.5692111253738403
10,4.00462532043457,3.5163209438323975,3.1891443729400635,2.9611847400665283,2.6659913063049316,2.2436883449554443,2.043779134750366,2.0217678546905518,2.0326552391052246,2.0265023708343506,2.0012400150299072,2.0217220783233643,1.9797477722167969
12,4.0614495277404785,3.5929267406463623,3.363813638687134,3.008836269378662,2.861199140548706,2.477764844894409,2.4568145275115967,2.5122768878936768,2.5378713607788086,2.5501935482025146,2.546792984008789,2.5416111946105957,2.509624481201172
14,3.977210521697998,3.711275815963745,3.399456024169922,3.229475259780884,2.9223060607910156,3.0203697681427,2.923569440841675,3.013620138168335,2.9432764053344727,2.9873297214508057,3.01521897315979,2.9668262004852295,3.001823902130127
16,3.9235877990722656,3.6859130859375,3.506216049194336,3.4864912033081055,3.507951498031616,3.510213613510132,3.537843942642212,3.484778881072998,3.471665143966675,3.4189770221710205,3.4636967182159424,3.5348470211029053,3.4843103885650635
18,3.9880576133728027,3.9761366844177246,4.058215141296387,4.07715368270874,3.9017536640167236,3.986753225326538,3.970405101776123,3.892479419708252,3.9154305458068848,3.980121612548828,4.054399490356445,3.9914515018463135,4.001431941986084
20,4.0181779861450195,4.105629920959473,3.9812002182006836,4.051143169403076,3.995722770690918,3.8215363025665283,4.100308418273926,4.053046226501465,4.004431247711182,3.9945218563079834,3.9877612590789795,4.044475078582764,3.9328646659851074
