,quadratic_0,quadratic_1,quadratic_2,quadratic_3,quadratic_4,quadratic_6,quadratic_8,quadratic_10,quadratic_12,quadratic_14,quadratic_16,quadratic_18,quadratic_20
0,0.03481430057130318,0.028705255364972346,0.02789621880281641,0.009767504740513406,0.0037126969775347703,0.000759462332147614,0.00028311278305666126,0.0010046197487180426,0.000233015841873299,0.00017359472700411712,0.00013532416112915376,0.00021749815113532298,9.304736758318815e-05
1,0.04026673065731156,0.05459290615328312,0.04417765834901875,0.036338379279403636,0.028007209041017445,0.016938680441494353,0.02028038474921586,0.008808428262650625,0.008903166257854487,0.006158962069339713,0.004581781077451576,0.005523554029216961,0.004645438130473634
2,0.048656209174864753,0.052738429570439366,0.04236107507939218,0.03367029345345166,0.033214371151379915,0.020030764621748503,0.016581911429404187,0.015743359776138634,0.010383472760779727,0.011131108923775982,0.008567513381258354,0.009421332435889763,0.009126731905188484
3,0.049320801041184775,0.047498114580740596,0.04183352416167782,0.03201076462227058,0.029338422772579833,0.021015312214223317,0.020061199526668808,0.017720120704465412,0.014210600325199852,0.01268175762241394,0.012369795606036009,0.013470016382229565,0.012903062374940736
4,0.04843143155974332,0.0457415453925324,0.043573898595252014,0.035321155678277164,0.0332711771936471,0.02673553252018879,0.021322324576775725,0.018047698822116938,0.017729561990075485,0.017457185895115537,0.014796415227768612,0.018469354290011984,0.018274099305457633
6,0.05052754398459939,0.04558487923614633,0.038947830744653265,0.035493424741886256,0.03909394543031759,0.02816702103603062,0.030063360456446666,0.025852646972166906,0.02452429634957671,0.025106006959988166,0.020688156306189812,0.022992617868351915,0.02509136344872751
8,0.05198233884832872,0.046904514245907435,0.04294301564325631,0.040250011910383764,0.03725027665974937,0.03184731295416636,0.03220511298706481,0.029201493030971776,0.028641266104605753,0.026997257246615593,0.024986992854180413,0.02672929173427245,0.031219984856365224
10,0.04731014836669016,0.04531347384633496,0.042497965238848544,0.04130078986695653,0.036496432695963185,0.03425506885332249,0.038377640425247744,0.03424795914493335,0.0333951560321953,0.03160823298823454,0.03191915267461799,0.03113760874410679,0.03137960459521305
12,0.05105115176605975,0.04449465860784741,0.05158753892792265,0.0402316156341701,0.04127602651891399,0.03606076891609888,0.035985464814942254,0.038380162373769657,0.03592339623136478,0.04096908389634313,0.04139032846380635,0.03734002259167948,0.03670129860392057
14,0.04859814027347226,0.04418966870475989,0.04625566853650227,0.044255175280941236,0.03937046634201871,0.043566852972251324,0.035897147610201706,0.04095839671538703,0.03952820687109348,0.04077050212618251,0.0423175460217202,0.03992716480229129,0.04312947396581381
16,0.0449201101925759,0.04752146051077979,0.048591479162802265,0.047188412516737686,0.047923076100733875,0.04364007241341898,0.04881443222921726,0.0484540876294245,0.04566372688231132,0.04246723064049402,0.04398078426597387,0.0484773996319051,0.04640165128166097
18,0.04922140460369996,0.04853675024106659,0.05175348992617639,0.04872277504481988,0.04459028908632865,0.05145761899689233,0.04611682565756257,0.04767583090236788,0.04604788485850609,0.04723516846220452,0.05098121575861794,0.04945386492597784,0.049107038573419144
20,0.04945101124132749,0.056835559243150265,0.047921085683963215,0.04953353437300648,0.04920693638482536,0.04388168563705891,0.05154229087394874,0.05016909932808771,0.053058969604547666,0.05045111273455181,0.05311813549700127,0.05107489728734457,0.05005100880581938
