,quadratic_2,quadratic_4,quadratic_6,quadratic_8,quadratic_10,quadratic_12,quadratic_14,quadratic_16,quadratic_18,quadratic_20
0,0.019815326509561366,0.004632252090584105,0.0023087293663031695,0.0008938776646912181,0.00023983718073991643,0.00020815888380907124,0.00013929183007091553,0.00016694857744503207,0.0002833746908505396,0.00028994073367406305
2,0.04105743502864227,0.026693177733016923,0.018882390273160604,0.017276876000120428,0.013636356604974918,0.011307827209721384,0.00911398174018363,0.009181903770050204,0.009119243339061752,0.009032738431409256
4,0.03959035461897434,0.029205798061184073,0.026265752695297077,0.02210112225990544,0.022717576575178228,0.01859390235759877,0.01573973235466597,0.019887963527639878,0.017986144806511416,0.01698174959226099
6,0.04407936644205251,0.035921466130253835,0.028744375724891892,0.025253576760943162,0.025235585730568215,0.02115107710965309,0.020437723802180643,0.027705255654423794,0.02155443242941714,0.024359425378604773
8,0.039974765166994164,0.037484312728637365,0.031303237430553923,0.026388930466489664,0.028158650353380523,0.02596744086665884,0.0261298822474628,0.02748017834586814,0.02954157156909964,0.025175283264901822
10,0.04713981317392075,0.03778796437802492,0.0352971839732684,0.030995243053666747,0.029821095069736046,0.03215278915226035,0.03573367332372509,0.032702807653219285,0.033119373987325715,0.032924418696205576
12,0.047231436430759534,0.04138583871688617,0.03566918457430147,0.03520969987857769,0.03784889450352524,0.03684483102540326,0.03463088065010391,0.03793560957355456,0.0373749001219108,0.03830468863482008
14,0.04642938517594457,0.04155372735570832,0.04042728717374937,0.041328998747060405,0.03811806444419836,0.04104129681993925,0.041092154230266846,0.05057424338413524,0.03994564401253707,0.04413155079689387
16,0.04598533374965087,0.04279142731147267,0.04658569320810106,0.04659567921951295,0.044462125848887576,0.045199993702306235,0.04673863864222834,0.046706445158854415,0.04549615490070269,0.04739490694750742
18,0.04787797129645179,0.04824419667306695,0.050832767610868315,0.051008862949140706,0.04760474135793398,0.05081619965308982,0.04666382837553565,0.048864343437633045,0.04961664181263898,0.04756383603145968
20,0.04824564424890016,0.050413294815909275,0.052006747841870433,0.05102985279872221,0.050585744826497525,0.043784667898404184,0.04886817348202507,0.04896109729527651,0.04782382668266962,0.04934408665556425
