quadratic_examples,linear_0,linear_1,linear_2,linear_3,linear_4,linear_6,linear_8,linear_10,linear_12,linear_14,linear_16,linear_18,linear_20
0,2.036219835281372,5.679943084716797,7.202816963195801,6.468485355377197,5.31525993347168,3.8573243618011475,3.18473744392395,2.6311440467834473,2.4349253177642822,2.222857713699341,2.0955848693847656,1.9857429265975952,1.8941725492477417
1,3.038944721221924,5.7853240966796875,5.762609481811523,4.947783946990967,4.374185562133789,3.401766061782837,2.9447944164276123,2.6692087650299072,2.3856709003448486,2.2444958686828613,2.178541421890259,2.0721006393432617,2.0164246559143066
2,3.5860602855682373,4.411194801330566,4.3544182777404785,3.9758076667785645,3.585763454437256,3.0423405170440674,2.7030584812164307,2.513599157333374,2.3947665691375732,2.230591058731079,2.119781255722046,2.092174530029297,2.0637834072113037
3,3.7975449562072754,3.984175443649292,3.9159321784973145,3.5087108612060547,3.276510238647461,2.9831347465515137,2.697218179702759,2.458123207092285,2.3309810161590576,2.3216185569763184,2.149080276489258,2.118424415588379,2.104719638824463
4,3.7862370014190674,3.755171775817871,3.5459144115448,3.377945899963379,3.2025444507598877,2.9205029010772705,2.699510335922241,2.5525565147399902,2.3825604915618896,2.2407562732696533,2.2262518405914307,2.2294130325317383,2.1220662593841553
6,3.8989956378936768,3.6171584129333496,3.4515984058380127,3.280177593231201,3.1617674827575684,2.9181277751922607,2.767712354660034,2.6203320026397705,2.4973080158233643,2.421855926513672,2.303124189376831,2.3210692405700684,2.2675106525421143
8,3.894894599914551,3.636704206466675,3.56539249420166,3.312303304672241,3.1849915981292725,3.0329627990722656,2.7828691005706787,2.670632839202881,2.568878650665283,2.487508535385132,2.4067463874816895,2.3778939247131348,2.350344657897949
10,3.9384539127349854,3.7171061038970947,3.588287830352783,3.369504928588867,3.2337496280670166,3.0938639640808105,2.952397108078003,2.8344266414642334,2.6495471000671387,2.5844993591308594,2.5608162879943848,2.456623077392578,2.4114694595336914
12,3.9774909019470215,3.762348175048828,3.7350451946258545,3.4072816371917725,3.288222074508667,3.1151089668273926,2.9835026264190674,2.8376917839050293,2.8199667930603027,2.6804678440093994,2.737473964691162,2.6380293369293213,2.4822211265563965
14,3.9773318767547607,3.779533863067627,3.6094658374786377,3.5023458003997803,3.3717222213745117,3.220012664794922,3.0730888843536377,2.9625258445739746,2.84185791015625,2.7624073028564453,2.716249704360962,2.6349735260009766,2.694427013397217
16,3.929373264312744,3.7888314723968506,3.6025946140289307,3.5302793979644775,3.501310110092163,3.281230926513672,3.1018223762512207,3.0099129676818848,2.948019027709961,2.9254398345947266,2.8243331909179688,2.718015193939209,2.6976430416107178
18,3.8965635299682617,3.759002923965454,3.6848692893981934,3.605536460876465,3.4393322467803955,3.4322447776794434,3.331594467163086,3.1458969116210938,2.9913079738616943,2.9630346298217773,2.8567192554473877,2.825103282928467,2.784054756164551
20,3.900297164916992,3.782092332839966,3.7052290439605713,3.626985549926758,3.5554239749908447,3.420257806777954,3.3679513931274414,3.1870293617248535,3.053697109222412,3.082930564880371,2.934352397918701,2.9236981868743896,2.763568162918091
