quadratic_examples,linear_0,linear_1,linear_2,linear_3,linear_4,linear_6,linear_8,linear_10,linear_12,linear_14,linear_16,linear_18,linear_20
0,0.01790182916882021,0.08987621375508789,0.1098463969512438,0.10166322814775246,0.08742668926157778,0.07138468403580808,0.056965449016350735,0.045122963065390216,0.04030924565795455,0.04058289403636165,0.031643178373583054,0.029685245355409798,0.027029874824471906
1,0.03663514363439726,0.08400756791974517,0.09432487817154414,0.08129757778920485,0.0730245461921927,0.05820728813426315,0.0532201707445987,0.04779979089227242,0.0389034987347613,0.034401937484733275,0.03444455803778077,0.03094727514041247,0.029537760373351273
2,0.042565496159359145,0.059915895063810176,0.06638978592604014,0.06372144375853438,0.052059995260214306,0.045329898554421634,0.040113540190816685,0.03860834405393637,0.03532010769368958,0.031390960903019134,0.029159126934613713,0.032502054519308855,0.029624198368318772
3,0.044496731958650185,0.05650890093930943,0.06059201853032233,0.053083242887855014,0.04776147159970849,0.04480506184139453,0.0421890058114059,0.03718218404965766,0.03275406088506377,0.031223010063672903,0.030526469746346558,0.03320921039274539,0.029596068652518275
4,0.04389975394687287,0.04893789461492914,0.04822786997792732,0.046468737374181154,0.04305491250121746,0.03879700766780228,0.04176210665084421,0.03622901190942186,0.034521498201207215,0.03123003683802993,0.03175683192513346,0.03923917046000109,0.03144151673504814
6,0.050424826416101416,0.0425487246362291,0.04273250645138666,0.04372584505126522,0.04245977034733278,0.04014727549324213,0.03923192127164886,0.034805818681655484,0.035404549617293314,0.03696531155568788,0.03709677330576972,0.03313346146359835,0.03172129469237398
8,0.04658958733788154,0.04464727984530371,0.04658010270039105,0.0446515961847022,0.04114007125218323,0.04629197102419441,0.03539585662283661,0.03661989508167507,0.03375712161534295,0.035814224887277084,0.032000149066160395,0.033016155044906334,0.03233473510952529
10,0.05012990922818662,0.043883008811843954,0.04452615092167713,0.040660384580183014,0.040584643190493444,0.03910597463470239,0.038712309402644744,0.039383234413235046,0.03227873955893556,0.032454005556886836,0.03523784467329311,0.031832188802492334,0.031249288842665836
12,0.05143609761555957,0.04908987122877221,0.04881614745579046,0.04276438704727581,0.04042325733373453,0.04031171106054548,0.039506116260722146,0.03558345717320001,0.03413418873179224,0.03598933632635034,0.0403047483715769,0.03616546182245259,0.032621634084426455
14,0.05120266470326875,0.04811270476515526,0.04289829912103365,0.04234151018727149,0.04087904769530064,0.04369465808546282,0.03959324600091202,0.03906123172437861,0.03533594055436528,0.03753351145832274,0.03674492567453958,0.034408413878695386,0.03632090281700065
16,0.04626015451369372,0.043427301384309946,0.045940911266269334,0.04085755647179774,0.043947531488826165,0.04112400466832613,0.038019930865838866,0.0360766620924343,0.04041150331954719,0.03805984098392783,0.034513902197811606,0.032408557707290106,0.03434576852662186
18,0.04697950168985054,0.04626639341474569,0.047478726865870326,0.0440797622635694,0.04025928544306525,0.04323093621464393,0.04668269209811213,0.037999465008551156,0.037716791899558906,0.03429909928491586,0.0363285515965985,0.035634989364970684,0.03596885162041897
20,0.05264209792241392,0.04454905202372591,0.04324769265885905,0.04359278116647215,0.04226447578062674,0.04270607311351571,0.04227437131854905,0.04074168631975274,0.03718526768776069,0.04148081703229672,0.03710502524196475,0.03905575807825929,0.034333697855221
