linear_examples,quadratic_2,quadratic_4,quadratic_6,quadratic_8,quadratic_10,quadratic_12,quadratic_14,quadratic_16,quadratic_18,quadratic_20
0,0.36629700660705566,0.09216863662004471,0.040063705295324326,0.026883389800786972,0.021198708564043045,0.018484672531485558,0.016983188688755035,0.015421545132994652,0.013780079782009125,0.013817678205668926
2,2.7252197265625,1.1994179487228394,0.6502761840820312,0.4560764729976654,0.2960359454154968,0.24711208045482635,0.18909117579460144,0.18722012639045715,0.15008802711963654,0.140745148062706
4,2.5830283164978027,1.4291988611221313,0.9336401224136353,0.6131061911582947,0.5252724885940552,0.4238438606262207,0.3548794388771057,0.2900679409503937,0.2689816355705261,0.2298070192337036
6,2.347703695297241,1.524009108543396,1.0422184467315674,0.8592604994773865,0.6626555323600769,0.5571402907371521,0.5054596662521362,0.42172572016716003,0.41857072710990906,0.3539314568042755
8,2.2504446506500244,1.6137127876281738,1.2280077934265137,0.9972267746925354,0.8351668119430542,0.7261274456977844,0.6011096239089966,0.5331303477287292,0.5105011463165283,0.4456137716770172
10,2.1550447940826416,1.6166563034057617,1.306966781616211,1.0953898429870605,0.9346585869789124,0.8474974632263184,0.7588507533073425,0.6708639860153198,0.6136107444763184,0.5665680766105652
12,2.120487689971924,1.7385731935501099,1.4036166667938232,1.2011027336120605,1.0345873832702637,0.9558001160621643,0.8582837581634521,0.7923025488853455,0.7174030542373657,0.6967157125473022
14,2.160609722137451,1.7446701526641846,1.5369367599487305,1.3090542554855347,1.1545640230178833,1.0607564449310303,0.959169864654541,0.8549888730049133,0.7935611605644226,0.7533645033836365
16,2.030487060546875,1.7573686838150024,1.5202000141143799,1.3744869232177734,1.245775580406189,1.1214330196380615,1.0690656900405884,0.9633533358573914,0.9086471199989319,0.8595677018165588
18,2.059093475341797,1.8254278898239136,1.5838391780853271,1.4438637495040894,1.3196433782577515,1.1884082555770874,1.1578158140182495,1.0188413858413696,0.9669137001037598,0.9790531992912292
20,2.01464581489563,1.9064888954162598,1.5902221202850342,1.5249799489974976,1.38032865524292,1.2808729410171509,1.1739686727523804,1.1214004755020142,1.0507358312606812,1.0356751680374146
