linear_examples,quadratic_0,quadratic_1,quadratic_2,quadratic_3,quadratic_4,quadratic_6,quadratic_8,quadratic_10,quadratic_12,quadratic_14,quadratic_16,quadratic_18,quadratic_20
0,1.9999324083328247,0.9248653054237366,0.37669098377227783,0.16797961294651031,0.08994122594594955,0.04148979112505913,0.028235822916030884,0.02213960327208042,0.017984110862016678,0.017679767683148384,0.01527848094701767,0.014412328600883484,0.014427787624299526
1,5.784813404083252,4.43995475769043,2.67598032951355,1.53413987159729,0.9079058170318604,0.4705653190612793,0.27264440059661865,0.19351166486740112,0.15708138048648834,0.12751047313213348,0.10679937154054642,0.0857764258980751,0.0810946598649025
2,7.280694007873535,4.448904514312744,2.6876602172851562,1.7319831848144531,1.1321144104003906,0.6439197659492493,0.41941720247268677,0.3460577130317688,0.23509515821933746,0.20373868942260742,0.17627887427806854,0.1499093919992447,0.12442730367183685
3,6.402761459350586,4.024021148681641,2.629641532897949,1.7981383800506592,1.337124228477478,0.8198297619819641,0.5467618703842163,0.41453221440315247,0.3448408842086792,0.2709205448627472,0.242387056350708,0.2091505378484726,0.1709383726119995
4,5.363736152648926,3.659801959991455,2.572780132293701,1.7712844610214233,1.4504860639572144,0.9609494805335999,0.6529664993286133,0.5071617364883423,0.4303591847419739,0.35707563161849976,0.29113075137138367,0.27452969551086426,0.252449631690979
6,4.14131498336792,2.948357343673706,2.3108084201812744,1.8759377002716064,1.5294357538223267,1.0981769561767578,0.8222619295120239,0.6801308393478394,0.5548205971717834,0.4811112582683563,0.417938768863678,0.37582677602767944,0.34903445839881897
8,3.4353625774383545,2.6855649948120117,2.24035382270813,1.8823752403259277,1.560764193534851,1.2179163694381714,0.9681185483932495,0.8200699090957642,0.6983134746551514,0.6116890907287598,0.549640417098999,0.5123544931411743,0.46863609552383423
10,2.911463737487793,2.5277233123779297,2.147373676300049,1.8598284721374512,1.6793622970581055,1.3469319343566895,1.0861374139785767,0.9283895492553711,0.8828021883964539,0.7289038300514221,0.6626720428466797,0.6103499531745911,0.5623958706855774
12,2.785729169845581,2.409794330596924,2.077301502227783,1.9071238040924072,1.7044682502746582,1.4020380973815918,1.1789209842681885,1.0576436519622803,0.9200229048728943,0.8342322707176208,0.7592036724090576,0.6906089186668396,0.6831701397895813
14,2.676180601119995,2.3008599281311035,2.077876091003418,1.9152286052703857,1.7248212099075317,1.4851735830307007,1.2627058029174805,1.1482254266738892,1.0962291955947876,0.9511547088623047,0.9070037007331848,0.8280765414237976,0.745800256729126
16,2.523948907852173,2.2838199138641357,2.1618988513946533,1.9415419101715088,1.786507248878479,1.5610603094100952,1.3864253759384155,1.2365942001342773,1.1305983066558838,1.0359632968902588,0.9934921264648438,0.906197726726532,0.8532752394676208
18,2.431292772293091,2.3635566234588623,2.034308433532715,1.9388600587844849,1.8516554832458496,1.6127405166625977,1.4311624765396118,1.304884672164917,1.1864421367645264,1.1143617630004883,1.06995689868927,0.9892606735229492,0.9422100782394409
20,2.4090049266815186,2.237945079803467,2.0867276191711426,1.9602617025375366,1.798490285873413,1.6689289808273315,1.4671955108642578,1.4105517864227295,1.2775626182556152,1.197660207748413,1.1671854257583618,1.0592234134674072,1.0044610500335693
