,quadratic_0,quadratic_1,quadratic_2,quadratic_3,quadratic_4,quadratic_6,quadratic_8,quadratic_10,quadratic_12,quadratic_14,quadratic_16,quadratic_18,quadratic_20
0,0.03286094777353968,0.019884994866263182,0.013409075889975228,0.008355253150392553,0.003758099119170618,0.0013797466329104192,0.0009911072738811011,0.0006941553748830449,0.0006020846983653393,0.0008158670161088222,0.0005137660799765108,0.0004013363649688461,0.0005125213037686998
1,0.09803681696238763,0.08049304228315529,0.06659940546192897,0.04810306179905801,0.027813005810779407,0.016856669992922953,0.010494784368355187,0.007942101248085413,0.007101264196775897,0.006637457978276619,0.004300972099317453,0.00429355091709181,0.0033802580302909786
2,0.11744948743686479,0.08669050647690245,0.059501006258989624,0.044795927788676144,0.028428836235946997,0.017898014203343113,0.012110545706521966,0.016730376540933112,0.007066810761026951,0.0069350832450694845,0.006623198036914474,0.005921145433749309,0.00528411829513603
3,0.11478182382053083,0.07826999555242489,0.06572788941576373,0.04153676357641293,0.03401661466236023,0.02135754892205043,0.01535968809495034,0.013907811943691997,0.012342884455048234,0.008719326954333752,0.008364397569864953,0.007542267326173433,0.004847472500936953
4,0.0890091836861141,0.06915563589693584,0.05407395775653588,0.03239517517029041,0.03576114333699743,0.022713772918887327,0.016374146600051667,0.014558796031720563,0.011617023187641982,0.011195652334266224,0.008552833115142556,0.010052489635650743,0.008557874184889838
6,0.07199991130437851,0.04857875632833072,0.04551492438006086,0.03826612054015982,0.03251779313676625,0.027570753618119347,0.018019101659953636,0.017772178773394244,0.013062677401627648,0.012133648489057926,0.01195379284637506,0.010561114630264544,0.009633857490199009
8,0.0673418912330447,0.04678484043757153,0.04166609919948974,0.04056131987882664,0.029209701615286382,0.025614690385397317,0.02001928202802989,0.021851758473991876,0.018013639323020518,0.013722187673616514,0.01320276334861683,0.014023408790403912,0.012252062265565059
10,0.04429340410001559,0.04627370668848638,0.04091684299557078,0.03577910609440688,0.031522298252052806,0.028637780990392735,0.023611203965222826,0.020443555572529526,0.024823980359473505,0.016907957152326028,0.013767313211406628,0.016231402051874025,0.016626620412169384
12,0.046927852636489166,0.04101556842134124,0.03625332289001653,0.03745992635346805,0.033822613112609375,0.027601542877540488,0.022199732708949562,0.020688531394198677,0.01806996660973869,0.01944253803522325,0.017744205501336142,0.015938654342844676,0.01591383821859988
14,0.05448085850617267,0.038341756377444886,0.035914575066131174,0.03531926704418227,0.034195028383802985,0.02915398125489411,0.025100408912820685,0.027150394936908216,0.026750632168626057,0.02023549293460715,0.021629742185166858,0.019483599805439934,0.01590607446227569
16,0.043931035155893576,0.03799014246939616,0.04060513920561101,0.032114439701866566,0.03246932573445494,0.028999516620087717,0.02577308119267841,0.024605038284429684,0.02071790323561647,0.020215618924730415,0.023559068616854983,0.018163093988341674,0.021109632711970076
18,0.04155725582180176,0.05195787707858476,0.036853037724853495,0.03499435789447322,0.03432848055065549,0.02936412478307672,0.02977897023601685,0.022900578056488204,0.025145811525672624,0.02219598936831838,0.02086631934067187,0.02194717973252847,0.01902839752155606
20,0.04067970820966483,0.0402147800256516,0.03511643302001161,0.03649412562197901,0.029821990380309967,0.031676751577673,0.027065677823107016,0.027888328760579686,0.023428087507186512,0.022704531428900068,0.026238531484121065,0.020101098335571575,0.01995543224762639
