,quadratic_2,quadratic_4,quadratic_6,quadratic_8,quadratic_10,quadratic_12,quadratic_14,quadratic_16,quadratic_18,quadratic_20
0,0.010714120380051534,0.0038962410641741564,0.0012474594300402268,0.0007509171228376165,0.0006527289423135209,0.0005964018323013823,0.0005608352074381881,0.0005963037015503193,0.000378377597850862,0.0004412465419598213
2,0.0597029091601634,0.03646807302671002,0.019631629513300275,0.014622121819830268,0.009205567299735096,0.008123788036499999,0.006721000821577703,0.008644541190877823,0.005865642775191329,0.006283217511733651
4,0.049602207521322966,0.034182833311353966,0.02467059952167765,0.014132735635801811,0.014864624699451025,0.01524305740013359,0.009789590638723825,0.008105231546815205,0.00892099990205486,0.007011822199224841
6,0.04617649292393757,0.03662408325029666,0.021277110450360404,0.019448290641268757,0.016034993530327585,0.013265904420018652,0.013903892368242578,0.012657501302885893,0.012150487867305155,0.010090716569860731
8,0.04288735559852375,0.03334378970848884,0.026472003978563575,0.026403558898835392,0.018758266300056208,0.019248176476378456,0.014463796982801988,0.013321757663348737,0.013223146271872429,0.010715436957811294
10,0.038364996755079574,0.03735267757103384,0.026075381394315433,0.02130205286051773,0.020839233839730225,0.02078398658029386,0.01881486312237874,0.015858025499853667,0.013106551389478636,0.014129180781607242
12,0.03666410646024759,0.03449445039755289,0.02750963877591114,0.024322046633359556,0.020418884582840923,0.02025469970249827,0.017177571920989558,0.01572798211020736,0.01597467787061063,0.016749903735766476
14,0.03908023115718945,0.03128994348217943,0.03107928161629613,0.026759445794402197,0.023332423101146686,0.022145989571277388,0.020036458796998658,0.01662204773121709,0.01669266228983072,0.016718085340401416
16,0.033325246412854614,0.03132573140189961,0.02907782331017962,0.027377867908073252,0.024766165914770436,0.020796858319050333,0.0231159351195076,0.02094647696757134,0.02128678734401624,0.018204930437812846
18,0.03559990072993034,0.03535150199457225,0.029778764785800937,0.025468709525102984,0.026277742317530186,0.025413844893132947,0.02362211356017413,0.01883806014813301,0.01798024141131662,0.024607196454128934
20,0.03436270591781613,0.03387425085678455,0.02733071614108952,0.029897829782946576,0.02610588792408165,0.026962502232568065,0.023928453026147822,0.02146526515084745,0.02211723973510043,0.025472198409044737
