linear_examples,quadratic_2,quadratic_4,quadratic_6,quadratic_8,quadratic_10,quadratic_12,quadratic_14,quadratic_16,quadratic_18,quadratic_20
0,0.8817890882492065,0.09013427793979645,0.032686058431863785,0.02043556421995163,0.016926847398281097,0.014797503128647804,0.019123878329992294,0.012844134122133255,0.012079300358891487,0.011588815599679947
2,2.492060661315918,1.2983742952346802,0.8301087021827698,0.5714443325996399,0.41672995686531067,0.32842159271240234,0.2500563859939575,0.20017093420028687,0.1726626753807068,0.150845468044281
4,2.5181920528411865,1.711093544960022,1.2264503240585327,0.9170888662338257,0.6892397999763489,0.5456306338310242,0.44316041469573975,0.39374420046806335,0.3400321304798126,0.283645361661911
6,2.728111743927002,1.9683438539505005,1.488268256187439,1.1852803230285645,0.9696350693702698,0.8119769096374512,0.6912323832511902,0.5658082365989685,0.5160288214683533,0.4646090269088745
8,2.972797393798828,2.2413125038146973,1.7542632818222046,1.4395251274108887,1.185957908630371,1.0579179525375366,0.8689232468605042,0.7738615870475769,0.652221143245697,0.5806195735931396
10,2.9851958751678467,2.4020166397094727,1.9321305751800537,1.638846755027771,1.4414589405059814,1.223663091659546,1.0396556854248047,0.9276863932609558,0.8547548055648804,0.8095889687538147
12,3.066997528076172,2.5280063152313232,2.1783783435821533,1.8908041715621948,1.5736510753631592,1.451573133468628,1.2405089139938354,1.1453250646591187,1.0356937646865845,0.9161083698272705
14,3.1591806411743164,2.6921257972717285,2.3276915550231934,2.078279733657837,1.7113652229309082,1.5843479633331299,1.4768166542053223,1.3384431600570679,1.139857530593872,1.0989437103271484
16,3.3101024627685547,2.838207483291626,2.5539770126342773,2.1719565391540527,1.933777093887329,1.7656359672546387,1.6490682363510132,1.5142822265625,1.3829617500305176,1.292205810546875
18,3.4034335613250732,3.0099847316741943,2.6861929893493652,2.2725014686584473,2.0873520374298096,1.9286757707595825,1.8412925004959106,1.623104453086853,1.5505433082580566,1.3954728841781616
20,3.5044331550598145,3.04219126701355,2.675713062286377,2.4991514682769775,2.2566912174224854,2.053083658218384,1.944186806678772,1.8210073709487915,1.6658941507339478,1.592571496963501
