,quadratic_2,quadratic_4,quadratic_6,quadratic_8,quadratic_10,quadratic_12,quadratic_14,quadratic_16,quadratic_18,quadratic_20
0,0.021489240625584938,0.003237842155337184,0.001522280429691121,0.0005805080669458498,0.0009742406240025754,0.0003520592367062412,0.00570252849780865,0.0006419520535939959,0.0003406509184240544,0.00024519744048720374
2,0.04285556170639545,0.026248988711624493,0.020421804237744097,0.01591749485547022,0.011472418278334945,0.011098074790894752,0.01017092885782682,0.0066522932744865326,0.006324483789734063,0.005697294229463838
4,0.038471125928080295,0.03202074686395374,0.024088834250199576,0.02121519454079658,0.017880287053979427,0.01445611333321336,0.011293885810437118,0.01377408175934549,0.010385887272032771,0.008808618633951607
6,0.04026961449979178,0.03289494318724765,0.02872316534617955,0.025071084193012048,0.020030201047303024,0.017146782661568417,0.017274425676444428,0.011992709640943061,0.014673404267072428,0.01284174585224535
8,0.04763273159377138,0.0358405828305734,0.030241529145521823,0.02584670399482042,0.023452193037565267,0.022930400380489508,0.018580580136258785,0.01733853179840172,0.014448691679771624,0.013015544483287579
10,0.04210231712947771,0.03826211708824611,0.028333096435332526,0.02665916912525839,0.030559413405738214,0.022953382531706035,0.019191515568667473,0.018088353461630534,0.015946910048768435,0.01724006082932069
12,0.04191306543792955,0.04135856849923664,0.03650358764109711,0.02995620026263766,0.02758802651517079,0.024369149393869766,0.023483655193565125,0.02389599377689827,0.021058600009256433,0.0172007482132358
14,0.03785532943047129,0.03865045192387627,0.03478202792362588,0.03152889150760562,0.027868034425949297,0.025982025947124145,0.025255972423552545,0.025337364636611848,0.019255917614330254,0.019573419247080313
16,0.04340905212751684,0.04042615248540094,0.03895645211426405,0.03403360482975675,0.030062768609035694,0.031223258865769234,0.028128298382492332,0.02734954028151431,0.023563954185292054,0.022864096506681277
18,0.04444017848820807,0.04321136378306578,0.040745358035538005,0.03315597428358771,0.03491005922056131,0.030157660220685396,0.03096021096455739,0.02835818774977478,0.02860193087014847,0.023178473034312252
20,0.04476612054358977,0.042547925453737846,0.0367211839229835,0.037632708100184736,0.03288435024950986,0.03299498424834568,0.03009267763679784,0.031045052479406754,0.026740783752312897,0.026291056999412706
