linear_examples,quadratic_2,quadratic_4,quadratic_6,quadratic_8,quadratic_10,quadratic_12,quadratic_14,quadratic_16,quadratic_18,quadratic_20
0,0.8285723924636841,0.06946627050638199,0.0204427782446146,0.011393807828426361,0.008639656007289886,0.00792581308633089,0.006512136198580265,0.0059232632629573345,0.005971042905002832,0.00573852751404047
2,2.46494722366333,1.3717767000198364,0.8280686736106873,0.6193796992301941,0.43953076004981995,0.3683251440525055,0.2998117506504059,0.27033981680870056,0.2546461522579193,0.2625628709793091
4,2.4857046604156494,1.7958787679672241,1.3166736364364624,1.0674513578414917,0.8659797310829163,0.7245458364486694,0.6356489062309265,0.648368775844574,0.6479576230049133,0.6312029957771301
6,2.804821729660034,2.1539294719696045,1.7176880836486816,1.4745250940322876,1.1720325946807861,1.064777135848999,1.1069164276123047,1.1112754344940186,1.1005327701568604,1.088960886001587
8,3.03511118888855,2.450047016143799,2.007789134979248,1.7761452198028564,1.567398190498352,1.5492730140686035,1.5952744483947754,1.5451862812042236,1.5695816278457642,1.5661351680755615
10,3.166563034057617,2.6519289016723633,2.2522006034851074,1.9717507362365723,2.01757550239563,2.0807361602783203,2.037360668182373,2.0146102905273438,2.088996648788452,2.0387256145477295
12,3.2423222064971924,2.8016774654388428,2.5054032802581787,2.479416608810425,2.53574538230896,2.4514951705932617,2.4918694496154785,2.503347873687744,2.5330145359039307,2.521237373352051
14,3.3532848358154297,2.971865653991699,2.9297940731048584,3.024907112121582,3.0413095951080322,2.98844838142395,3.064344882965088,3.0153939723968506,3.000399351119995,3.0228657722473145
16,3.544790506362915,3.518765926361084,3.592860221862793,3.4534718990325928,3.515927314758301,3.400001287460327,3.557249069213867,3.529332160949707,3.4314868450164795,3.5043184757232666
18,4.125483989715576,3.9443047046661377,3.9976963996887207,3.9876229763031006,3.9242618083953857,3.955570697784424,3.996896505355835,4.020146369934082,3.9332823753356934,3.960914134979248
20,3.9993984699249268,3.9713568687438965,3.9811978340148926,4.052615165710449,3.9686639308929443,3.959590435028076,3.9895102977752686,4.025809288024902,4.066656112670898,4.0643792152404785
