,quadratic_2,quadratic_4,quadratic_6,quadratic_8,quadratic_10,quadratic_12,quadratic_14,quadratic_16,quadratic_18,quadratic_20
0,0.02075685772747179,0.004878106730263977,0.0010995476440067934,0.000556665416244162,0.00026024552021345287,0.000506070002063466,0.00012065654422031358,0.0001357996328910192,0.0001503285502884155,0.00021209646854848882
2,0.04603467195929934,0.032874213448948676,0.019990656592901095,0.021288659014331832,0.01208201451461148,0.015582931430477726,0.010675541918637258,0.009627707177772246,0.009812105343577545,0.009676420554883335
4,0.03711763498457432,0.029827584657748717,0.026073012119807174,0.02320589592597544,0.019549021562724804,0.018590662275753348,0.01623918654170624,0.01860963532046306,0.0200423207251774,0.014226255066192952
6,0.04125194549177199,0.03388782188022087,0.028880802207714183,0.028487461172327515,0.022142466759777046,0.020158466067419865,0.022918356097189778,0.023139693834842982,0.023844552058617168,0.023675426948770822
8,0.03954714975797334,0.038045859060059695,0.0337355776156378,0.030110606466648704,0.02833330188554844,0.026447764622814823,0.029683639450969832,0.02759555654831358,0.029576656434411246,0.0314738251951484
10,0.0400751681220505,0.04066063715200807,0.03424964044394796,0.029885687486699807,0.033634560194798095,0.03553600382791769,0.031540777462298594,0.033468002270218455,0.03401825826408752,0.031801752012707664
12,0.039224185788290164,0.04204721877432626,0.04333076240120423,0.037622209405665255,0.041278850045734485,0.035577342673196205,0.035630997222243166,0.035493820563403146,0.03690198765244254,0.038635512488910125
14,0.04318951443533331,0.039269173730981544,0.038269106165315814,0.04112888646703447,0.04462204151144089,0.04199810674840173,0.04186518988302922,0.043665759345000936,0.040149356383502366,0.04191777759884494
16,0.045769279286816,0.045575085480899793,0.0492973759468422,0.04634056282755389,0.048823411723057625,0.04115714435361187,0.047665222885715154,0.04405108593710272,0.04475451731855172,0.04549002532178396
18,0.0571604080771996,0.04812320345967474,0.05211452438632717,0.053510341844039515,0.04998141207396348,0.04992470781437207,0.04829353488271543,0.053246374129016984,0.049347091129363904,0.047050915430955416
20,0.04764216722478835,0.055186099357413185,0.04650850801230702,0.049426458998093954,0.04774993246005889,0.04724798553989437,0.049521229978424224,0.047999194463296674,0.05104444541864498,0.05352709828825463
