,quadratic_2,quadratic_4,quadratic_6,quadratic_8,quadratic_10,quadratic_12,quadratic_14,quadratic_16,quadratic_18,quadratic_20
0,0.013547722743020851,0.003913488751164702,0.0014391402405402574,0.002137827771791722,0.0010141776603107685,0.0010495771801675006,0.0004883633505997612,0.0005765213432033864,0.0004639134790621143,0.0004946169771545945
2,0.05898756166619157,0.030306368479717554,0.018837042321375286,0.01605012899118781,0.008991637079040882,0.008597842733774152,0.005627460475913891,0.006500324671317019,0.00601775462805267,0.0041017094219045645
4,0.05070673050043227,0.03518752633417424,0.02442436461061191,0.02280281014181575,0.012984191649420959,0.011436886700168559,0.011510181535910859,0.009708640426358387,0.009603584683614195,0.007628770820177654
6,0.05037267598881864,0.03168491304037846,0.022500704081208446,0.02062613861395022,0.01681531795359388,0.01257872999372773,0.014241153976575223,0.01646734560350056,0.012810700251270414,0.01232405937219126
8,0.03856470567413115,0.03215657395990759,0.025432680342743933,0.019136598160495184,0.016780851323794373,0.01912708148031047,0.014856821360975143,0.019603100206254154,0.012595978387542414,0.01226032174121755
10,0.03711828337791628,0.031097868263810783,0.02392366924038652,0.022642902018719904,0.020086334192991485,0.017625943456410484,0.016927369370433057,0.0169761967818383,0.017907293390617692,0.017305143311019653
12,0.0378774162711139,0.03315811171977893,0.02928297760238502,0.022289667127316278,0.02175037915919387,0.021301866258945482,0.01701835365825172,0.02037353286132687,0.019347599301964395,0.016949607000224954
14,0.03506303104278971,0.03205529642778536,0.030630291845363103,0.02898747045192362,0.0221245869363997,0.021275410302702132,0.0188732072139687,0.019851399043800837,0.019353476309058065,0.01649599365700175
16,0.035421728271126454,0.031049317927467363,0.02894837836496957,0.0245537907071783,0.024815436269301726,0.020456359456168815,0.025088313738183068,0.01808903578253108,0.021753930243659705,0.018563669133165643
18,0.035977054550140476,0.031023306799214428,0.02719995179082316,0.027291693794117017,0.024962742189245463,0.024617191889862652,0.020508671981787078,0.0206580003611957,0.02240638735319042,0.019429817085616072
20,0.03979708277292548,0.02984027921925477,0.03459222962141154,0.02760760648620641,0.024723034563479716,0.025990664280514233,0.021783858120065513,0.021933599284770323,0.021577288294721133,0.01976515142013432
